audio_id,split,speaker
ddc_dzo_08529,labeled,Romeo
ddc_dzo_00216,labeled,Romeo
ddc_dzo_00218,labeled,Romeo
ddc_dzo_00199,labeled,Romeo
ddc_dzo_00203,labeled,Romeo
ddc_dzo_00205,labeled,Thinley
ddc_dzo_00207,labeled,Romeo
ddc_dzo_00217,labeled,Romeo
ddc_dzo_00196,labeled,Romeo
ddc_dzo_00215,labeled,Romeo
ddc_dzo_06084,labeled,Dorji
ddc_dzo_00212,labeled,Romeo
ddc_dzo_06096,labeled,Dorji
ddc_dzo_00201,labeled,Romeo
ddc_dzo_00206,labeled,Romeo
ddc_dzo_00213,labeled,Romeo
ddc_dzo_00195,labeled,Romeo
ddc_dzo_00230,labeled,Dorji
ddc_dzo_00239,labeled,Romeo
ddc_dzo_09086,labeled,Romeo
ddc_dzo_03775,labeled,Romeo
ddc_dzo_00229,labeled,Romeo
ddc_dzo_00226,labeled,Romeo
ddc_dzo_00243,labeled,Nima
ddc_dzo_00236,labeled,Thinley
ddc_dzo_00224,labeled,Thinley
ddc_dzo_00232,labeled,Namgay
ddc_dzo_00237,labeled,Romeo
ddc_dzo_00246,labeled,Romeo
ddc_dzo_00231,labeled,Romeo
ddc_dzo_00223,labeled,Romeo
ddc_dzo_00241,labeled,Romeo
ddc_dzo_00222,labeled,Romeo
ddc_dzo_01378,labeled,Romeo
ddc_dzo_00253,labeled,Romeo
ddc_dzo_00248,labeled,Romeo
ddc_dzo_00274,labeled,Romeo
ddc_dzo_00266,labeled,Romeo
ddc_dzo_00252,labeled,Romeo
ddc_dzo_00268,labeled,Romeo
ddc_dzo_00264,labeled,Thinley
ddc_dzo_00254,labeled,Romeo
ddc_dzo_00269,labeled,Romeo
ddc_dzo_01035,labeled,Romeo
ddc_dzo_00261,labeled,Namgay
ddc_dzo_00263,labeled,Namgay
ddc_dzo_00262,labeled,Thinley
ddc_dzo_00258,labeled,Romeo
ddc_dzo_00270,labeled,Romeo
ddc_dzo_00259,labeled,Romeo
ddc_dzo_08862,labeled,Romeo
ddc_dzo_00286,labeled,Romeo
ddc_dzo_08849,labeled,Thinley
ddc_dzo_00290,labeled,Thinley
ddc_dzo_00297,labeled,Romeo
ddc_dzo_00288,labeled,Romeo
ddc_dzo_00298,labeled,Thinley
ddc_dzo_00295,labeled,Dorji
ddc_dzo_00302,labeled,Thinley
ddc_dzo_00292,labeled,Romeo
ddc_dzo_00282,labeled,Romeo
ddc_dzo_00283,labeled,Dorji
ddc_dzo_00276,labeled,Romeo
ddc_dzo_00289,labeled,Thinley
ddc_dzo_00281,labeled,Thinley
ddc_dzo_00300,labeled,Romeo
ddc_dzo_01823,labeled,Romeo
ddc_dzo_00331,labeled,Romeo
ddc_dzo_00305,labeled,Romeo
ddc_dzo_00328,labeled,Romeo
ddc_dzo_00303,labeled,Dorji
ddc_dzo_00313,labeled,Thinley
ddc_dzo_00327,labeled,Romeo
ddc_dzo_00309,labeled,Romeo
ddc_dzo_00304,labeled,Romeo
ddc_dzo_00310,labeled,Romeo
ddc_dzo_00323,labeled,Romeo
ddc_dzo_00330,labeled,Dorji
ddc_dzo_00311,labeled,Romeo
ddc_dzo_01169,labeled,Romeo
ddc_dzo_00338,labeled,Romeo
ddc_dzo_00353,labeled,Romeo
ddc_dzo_00345,labeled,Dorji
ddc_dzo_00356,labeled,Dorji
ddc_dzo_00349,labeled,Romeo
ddc_dzo_00334,labeled,Romeo
ddc_dzo_00355,labeled,Thinley
ddc_dzo_00354,labeled,Romeo
ddc_dzo_00337,labeled,Romeo
ddc_dzo_00346,labeled,Romeo
ddc_dzo_00350,labeled,Thinley
ddc_dzo_00333,labeled,Nima
ddc_dzo_00344,labeled,Romeo
ddc_dzo_00342,labeled,Romeo
ddc_dzo_09573,labeled,Romeo
ddc_dzo_00378,labeled,Romeo
ddc_dzo_00375,labeled,Romeo
ddc_dzo_00364,labeled,Romeo
ddc_dzo_00382,labeled,Romeo
ddc_dzo_00377,labeled,Romeo
ddc_dzo_00384,labeled,Namgay
ddc_dzo_00365,labeled,Thinley
ddc_dzo_00379,labeled,Thinley
ddc_dzo_00368,labeled,Dorji
ddc_dzo_00373,labeled,Romeo
ddc_dzo_00361,labeled,Romeo
ddc_dzo_00367,labeled,Thinley
ddc_dzo_01645,labeled,Romeo
ddc_dzo_00395,labeled,Romeo
ddc_dzo_00407,labeled,Romeo
ddc_dzo_00387,labeled,Romeo
ddc_dzo_00399,labeled,Romeo
ddc_dzo_00401,labeled,Romeo
ddc_dzo_00439,labeled,Romeo
ddc_dzo_00389,labeled,Thinley
ddc_dzo_00410,labeled,Dorji
ddc_dzo_00408,labeled,Dorji
ddc_dzo_00396,labeled,Dorji
ddc_dzo_00402,labeled,Dorji
ddc_dzo_00393,labeled,Dorji
ddc_dzo_00406,labeled,Romeo
ddc_dzo_00391,labeled,Romeo
ddc_dzo_03077,labeled,Romeo
ddc_dzo_00421,labeled,Romeo
ddc_dzo_00415,labeled,Thinley
ddc_dzo_00425,labeled,Romeo
ddc_dzo_00413,labeled,Thinley
ddc_dzo_00432,labeled,Romeo
ddc_dzo_00430,labeled,Romeo
ddc_dzo_00422,labeled,Romeo
ddc_dzo_00424,labeled,Thinley
ddc_dzo_00412,labeled,Romeo
ddc_dzo_00433,labeled,Namgay
ddc_dzo_00431,labeled,Romeo
ddc_dzo_00419,labeled,Romeo
ddc_dzo_00414,labeled,Romeo
ddc_dzo_05134,labeled,Romeo
ddc_dzo_00449,labeled,Romeo
ddc_dzo_00460,labeled,Thinley
ddc_dzo_00450,labeled,Romeo
ddc_dzo_00463,labeled,Romeo
ddc_dzo_00455,labeled,Romeo
ddc_dzo_00453,labeled,Thinley
ddc_dzo_00440,labeled,Dorji
ddc_dzo_00447,labeled,Romeo
ddc_dzo_00464,labeled,Thinley
ddc_dzo_00443,labeled,Thinley
ddc_dzo_01036,labeled,Romeo
ddc_dzo_00462,labeled,Romeo
ddc_dzo_00454,labeled,Romeo
ddc_dzo_00479,labeled,Romeo
ddc_dzo_00486,labeled,Romeo
ddc_dzo_04020,labeled,Romeo
ddc_dzo_00471,labeled,Romeo
ddc_dzo_00477,labeled,Romeo
ddc_dzo_00478,labeled,Dorji
ddc_dzo_00468,labeled,Romeo
ddc_dzo_00469,labeled,Namgay
ddc_dzo_00473,labeled,Thinley
ddc_dzo_00467,labeled,Namgay
ddc_dzo_00485,labeled,Thinley
ddc_dzo_00492,labeled,Romeo
ddc_dzo_00484,labeled,Romeo
ddc_dzo_00483,labeled,Romeo
ddc_dzo_00970,labeled,Romeo
ddc_dzo_00498,labeled,Romeo
ddc_dzo_00504,labeled,Romeo
ddc_dzo_00515,labeled,Romeo
ddc_dzo_00517,labeled,Namgay
ddc_dzo_00500,labeled,Namgay
ddc_dzo_00497,labeled,Dorji
ddc_dzo_00510,labeled,Romeo
ddc_dzo_00508,labeled,Romeo
ddc_dzo_00516,labeled,Thinley
ddc_dzo_00512,labeled,Romeo
ddc_dzo_00502,labeled,Thinley
ddc_dzo_00506,labeled,Dorji
ddc_dzo_00501,labeled,Romeo
ddc_dzo_06250,labeled,Romeo
ddc_dzo_00524,labeled,Romeo
ddc_dzo_00529,labeled,Romeo
ddc_dzo_00537,labeled,Romeo
ddc_dzo_00538,labeled,Romeo
ddc_dzo_00539,labeled,Dorji
ddc_dzo_00532,labeled,Romeo
ddc_dzo_00545,labeled,Dorji
ddc_dzo_00543,labeled,Thinley
ddc_dzo_00534,labeled,Romeo
ddc_dzo_00530,labeled,Thinley
ddc_dzo_00523,labeled,Romeo
ddc_dzo_00536,labeled,Romeo
ddc_dzo_00533,labeled,Romeo
ddc_dzo_06604,labeled,Romeo
ddc_dzo_00570,labeled,Romeo
ddc_dzo_00562,labeled,Thinley
ddc_dzo_00548,labeled,Dorji
ddc_dzo_00560,labeled,Romeo
ddc_dzo_00569,labeled,Romeo
ddc_dzo_00559,labeled,Namgay
ddc_dzo_00549,labeled,Romeo
ddc_dzo_00565,labeled,Dorji
ddc_dzo_01304,labeled,Romeo
ddc_dzo_00594,labeled,Romeo
ddc_dzo_00585,labeled,Namgay
ddc_dzo_00590,labeled,Romeo
ddc_dzo_00581,labeled,Thinley
ddc_dzo_00587,labeled,Thinley
ddc_dzo_00596,labeled,Romeo
ddc_dzo_00592,labeled,Romeo
ddc_dzo_00578,labeled,Thinley
ddc_dzo_00580,labeled,Romeo
ddc_dzo_00624,labeled,Romeo
ddc_dzo_00619,labeled,Romeo
ddc_dzo_00612,labeled,Romeo
ddc_dzo_00621,labeled,Romeo
ddc_dzo_00604,labeled,Romeo
ddc_dzo_00627,labeled,Romeo
ddc_dzo_00606,labeled,Romeo
ddc_dzo_00611,labeled,Romeo
ddc_dzo_00626,labeled,Thinley
ddc_dzo_00608,labeled,Thinley
ddc_dzo_00616,labeled,Thinley
ddc_dzo_09776,labeled,Thinley
ddc_dzo_00613,labeled,Romeo
ddc_dzo_00620,labeled,Romeo
ddc_dzo_00630,labeled,Romeo
ddc_dzo_00636,labeled,Romeo
ddc_dzo_00634,labeled,Thinley
ddc_dzo_00631,labeled,Thinley
ddc_dzo_00645,labeled,Romeo
ddc_dzo_00643,labeled,Namgay
ddc_dzo_00628,labeled,Romeo
ddc_dzo_00641,labeled,Thinley
ddc_dzo_00651,labeled,Thinley
ddc_dzo_00648,labeled,Nima
ddc_dzo_00640,labeled,Thinley
ddc_dzo_00646,labeled,Romeo
ddc_dzo_00639,labeled,Romeo
ddc_dzo_00633,labeled,Romeo
ddc_dzo_01073,labeled,Romeo
ddc_dzo_00660,labeled,Romeo
ddc_dzo_00670,labeled,Romeo
ddc_dzo_00658,labeled,Romeo
ddc_dzo_00653,labeled,Romeo
ddc_dzo_00657,labeled,Romeo
ddc_dzo_00672,labeled,Romeo
ddc_dzo_00669,labeled,Romeo
ddc_dzo_00662,labeled,Romeo
ddc_dzo_00673,labeled,Romeo
ddc_dzo_00671,labeled,Romeo
ddc_dzo_00667,labeled,Dorji
ddc_dzo_00654,labeled,Romeo
ddc_dzo_00656,labeled,Romeo
ddc_dzo_09749,labeled,Romeo
ddc_dzo_08070,labeled,Romeo
ddc_dzo_00682,labeled,Romeo
ddc_dzo_00683,labeled,Romeo
ddc_dzo_00701,labeled,Romeo
ddc_dzo_00691,labeled,Romeo
ddc_dzo_00697,labeled,Romeo
ddc_dzo_00686,labeled,Romeo
ddc_dzo_00681,labeled,Romeo
ddc_dzo_00687,labeled,Dorji
ddc_dzo_00693,labeled,Thinley
ddc_dzo_00699,labeled,Romeo
ddc_dzo_00689,labeled,Romeo
ddc_dzo_00679,labeled,Romeo
ddc_dzo_00698,labeled,Romeo
ddc_dzo_03481,labeled,Romeo
ddc_dzo_00708,labeled,Romeo
ddc_dzo_00712,labeled,Romeo
ddc_dzo_00726,labeled,Romeo
ddc_dzo_00710,labeled,Romeo
ddc_dzo_00722,labeled,Romeo
ddc_dzo_00718,labeled,Namgay
ddc_dzo_00716,labeled,Romeo
ddc_dzo_00723,labeled,Romeo
ddc_dzo_04477,labeled,Dorji
ddc_dzo_00707,labeled,Romeo
ddc_dzo_00729,labeled,Romeo
ddc_dzo_00704,labeled,Romeo
ddc_dzo_00719,labeled,Romeo
ddc_dzo_00055,labeled,Romeo
ddc_dzo_02390,labeled,Romeo
ddc_dzo_00744,labeled,Romeo
ddc_dzo_00733,labeled,Romeo
ddc_dzo_00742,labeled,Romeo
ddc_dzo_00746,labeled,Romeo
ddc_dzo_00753,labeled,Romeo
ddc_dzo_00754,labeled,Romeo
ddc_dzo_00738,labeled,Romeo
ddc_dzo_00748,labeled,Romeo
ddc_dzo_00752,labeled,Romeo
ddc_dzo_00745,labeled,Romeo
ddc_dzo_00734,labeled,Romeo
ddc_dzo_00739,labeled,Romeo
ddc_dzo_07741,labeled,Romeo
ddc_dzo_00758,labeled,Romeo
ddc_dzo_00780,labeled,Romeo
ddc_dzo_00773,labeled,Namgay
ddc_dzo_00767,labeled,Romeo
ddc_dzo_00778,labeled,Romeo
ddc_dzo_00763,labeled,Thinley
ddc_dzo_00782,labeled,Romeo
ddc_dzo_00769,labeled,Romeo
ddc_dzo_00771,labeled,Romeo
ddc_dzo_00764,labeled,Thinley
ddc_dzo_00766,labeled,Romeo
ddc_dzo_00781,labeled,Romeo
ddc_dzo_02148,labeled,Romeo
ddc_dzo_04736,labeled,Thinley
ddc_dzo_08275,labeled,Romeo
ddc_dzo_09954,labeled,Thinley
ddc_dzo_04811,labeled,Thinley
ddc_dzo_00790,labeled,Romeo
ddc_dzo_00792,labeled,Romeo
ddc_dzo_00804,labeled,Romeo
ddc_dzo_00785,labeled,Romeo
ddc_dzo_00802,labeled,Romeo
ddc_dzo_00800,labeled,Dorji
ddc_dzo_00788,labeled,Nima
ddc_dzo_08161,labeled,Romeo
ddc_dzo_00835,labeled,Romeo
ddc_dzo_00811,labeled,Romeo
ddc_dzo_00826,labeled,Romeo
ddc_dzo_00834,labeled,Dorji
ddc_dzo_00820,labeled,Thinley
ddc_dzo_00815,labeled,Romeo
ddc_dzo_00829,labeled,Thinley
ddc_dzo_00825,labeled,Romeo
ddc_dzo_00821,labeled,Romeo
ddc_dzo_00836,labeled,Romeo
ddc_dzo_00819,labeled,Romeo
ddc_dzo_00814,labeled,Romeo
ddc_dzo_09534,labeled,Romeo
ddc_dzo_00862,labeled,Romeo
ddc_dzo_00847,labeled,Romeo
ddc_dzo_00838,labeled,Romeo
ddc_dzo_00854,labeled,Dorji
ddc_dzo_00845,labeled,Romeo
ddc_dzo_00849,labeled,Romeo
ddc_dzo_00860,labeled,Romeo
ddc_dzo_00848,labeled,Romeo
ddc_dzo_00855,labeled,Romeo
ddc_dzo_00861,labeled,Dorji
ddc_dzo_00841,labeled,Romeo
ddc_dzo_00852,labeled,Romeo
ddc_dzo_01318,labeled,Romeo
ddc_dzo_00881,labeled,Romeo
ddc_dzo_00971,labeled,Romeo
ddc_dzo_00883,labeled,Romeo
ddc_dzo_00876,labeled,Romeo
ddc_dzo_00873,labeled,Namgay
ddc_dzo_00886,labeled,Romeo
ddc_dzo_00871,labeled,Thinley
ddc_dzo_00874,labeled,Dorji
ddc_dzo_00887,labeled,Romeo
ddc_dzo_00884,labeled,Romeo
ddc_dzo_00877,labeled,Romeo
ddc_dzo_00864,labeled,Thinley
ddc_dzo_09186,labeled,Namgay
ddc_dzo_00885,labeled,Romeo
ddc_dzo_00882,labeled,Romeo
ddc_dzo_04365,labeled,Romeo
ddc_dzo_00891,labeled,Thinley
ddc_dzo_00897,labeled,Romeo
ddc_dzo_00905,labeled,Thinley
ddc_dzo_00915,labeled,Romeo
ddc_dzo_00898,labeled,Thinley
ddc_dzo_00907,labeled,Thinley
ddc_dzo_00912,labeled,Dorji
ddc_dzo_00914,labeled,Thinley
ddc_dzo_00913,labeled,Romeo
ddc_dzo_00904,labeled,Romeo
ddc_dzo_00939,labeled,Romeo
ddc_dzo_00937,labeled,Romeo
ddc_dzo_00925,labeled,Romeo
ddc_dzo_09478,labeled,Thinley
ddc_dzo_00922,labeled,Romeo
ddc_dzo_00923,labeled,Thinley
ddc_dzo_00921,labeled,Romeo
ddc_dzo_00933,labeled,Romeo
ddc_dzo_00941,labeled,Romeo
ddc_dzo_00917,labeled,Dorji
ddc_dzo_00926,labeled,Thinley
ddc_dzo_05473,labeled,Thinley
ddc_dzo_05147,labeled,Thinley
ddc_dzo_00929,labeled,Romeo
ddc_dzo_00934,labeled,Romeo
ddc_dzo_00950,labeled,Romeo
ddc_dzo_00959,labeled,Dorji
ddc_dzo_09747,labeled,Romeo
ddc_dzo_00944,labeled,Romeo
ddc_dzo_00946,labeled,Romeo
ddc_dzo_00967,labeled,Romeo
ddc_dzo_00956,labeled,Romeo
ddc_dzo_00965,labeled,Namgay
ddc_dzo_00943,labeled,Romeo
ddc_dzo_00960,labeled,Dorji
ddc_dzo_00949,labeled,Romeo
ddc_dzo_00963,labeled,Romeo
ddc_dzo_00495,labeled,Romeo
ddc_dzo_00995,labeled,Romeo
ddc_dzo_01521,labeled,Romeo
ddc_dzo_00981,labeled,Thinley
ddc_dzo_00984,labeled,Romeo
ddc_dzo_00990,labeled,Namgay
ddc_dzo_00979,labeled,Romeo
ddc_dzo_00994,labeled,Romeo
ddc_dzo_00993,labeled,Thinley
ddc_dzo_00977,labeled,Romeo
ddc_dzo_00980,labeled,Romeo
ddc_dzo_00976,labeled,Thinley
ddc_dzo_00982,labeled,Thinley
ddc_dzo_00986,labeled,Romeo
ddc_dzo_00992,labeled,Romeo
ddc_dzo_03553,labeled,Romeo
ddc_dzo_01030,labeled,Romeo
ddc_dzo_01022,labeled,Romeo
ddc_dzo_00999,labeled,Romeo
ddc_dzo_05719,labeled,Romeo
ddc_dzo_01033,labeled,Thinley
ddc_dzo_01018,labeled,Romeo
ddc_dzo_01031,labeled,Dorji
ddc_dzo_01007,labeled,Romeo
ddc_dzo_01025,labeled,Romeo
ddc_dzo_01002,labeled,Dorji
ddc_dzo_01021,labeled,Thinley
ddc_dzo_01015,labeled,Dorji
ddc_dzo_01001,labeled,Romeo
ddc_dzo_01020,labeled,Romeo
ddc_dzo_01029,labeled,Romeo
ddc_dzo_01013,labeled,Romeo
ddc_dzo_01039,labeled,Romeo
ddc_dzo_01050,labeled,Romeo
ddc_dzo_01044,labeled,Romeo
ddc_dzo_01064,labeled,Romeo
ddc_dzo_09142,labeled,Thinley
ddc_dzo_01046,labeled,Thinley
ddc_dzo_01042,labeled,Namgay
ddc_dzo_01068,labeled,Thinley
ddc_dzo_01059,labeled,Romeo
ddc_dzo_01045,labeled,Romeo
ddc_dzo_01058,labeled,Romeo
ddc_dzo_01072,labeled,Romeo
ddc_dzo_01071,labeled,Romeo
ddc_dzo_01049,labeled,Romeo
ddc_dzo_01107,labeled,Romeo
ddc_dzo_00339,labeled,Dorji
ddc_dzo_06303,labeled,Romeo
ddc_dzo_01097,labeled,Romeo
ddc_dzo_01082,labeled,Romeo
ddc_dzo_01083,labeled,Romeo
ddc_dzo_01077,labeled,Romeo
ddc_dzo_01095,labeled,Romeo
ddc_dzo_01103,labeled,Dorji
ddc_dzo_01084,labeled,Romeo
ddc_dzo_01078,labeled,Dorji
ddc_dzo_01093,labeled,Dorji
ddc_dzo_01100,labeled,Romeo
ddc_dzo_01090,labeled,Romeo
ddc_dzo_01129,labeled,Romeo
ddc_dzo_01139,labeled,Romeo
ddc_dzo_01132,labeled,Romeo
ddc_dzo_01110,labeled,Romeo
ddc_dzo_01522,labeled,Namgay
ddc_dzo_01126,labeled,Namgay
ddc_dzo_01138,labeled,Romeo
ddc_dzo_01133,labeled,Thinley
ddc_dzo_01130,labeled,Thinley
ddc_dzo_01125,labeled,Romeo
ddc_dzo_01108,labeled,Thinley
ddc_dzo_01122,labeled,Thinley
ddc_dzo_01118,labeled,Dorji
ddc_dzo_01113,labeled,Romeo
ddc_dzo_01121,labeled,Romeo
ddc_dzo_01134,labeled,Romeo
ddc_dzo_01112,labeled,Romeo
ddc_dzo_01165,labeled,Romeo
ddc_dzo_01155,labeled,Romeo
ddc_dzo_03896,labeled,Dorji
ddc_dzo_03647,labeled,Romeo
ddc_dzo_01140,labeled,Romeo
ddc_dzo_01593,labeled,Romeo
ddc_dzo_01154,labeled,Romeo
ddc_dzo_01145,labeled,Romeo
ddc_dzo_01152,labeled,Romeo
ddc_dzo_01162,labeled,Namgay
ddc_dzo_01142,labeled,Romeo
ddc_dzo_01163,labeled,Dorji
ddc_dzo_01156,labeled,Romeo
ddc_dzo_01166,labeled,Romeo
ddc_dzo_01168,labeled,Romeo
ddc_dzo_01164,labeled,Romeo
ddc_dzo_01149,labeled,Romeo
ddc_dzo_01172,labeled,Romeo
ddc_dzo_05435,labeled,Romeo
ddc_dzo_01203,labeled,Thinley
ddc_dzo_01193,labeled,Romeo
ddc_dzo_01196,labeled,Romeo
ddc_dzo_01195,labeled,Romeo
ddc_dzo_06052,labeled,Thinley
ddc_dzo_01182,labeled,Romeo
ddc_dzo_01184,labeled,Romeo
ddc_dzo_01178,labeled,Romeo
ddc_dzo_01185,labeled,Thinley
ddc_dzo_01176,labeled,Romeo
ddc_dzo_01191,labeled,Romeo
ddc_dzo_04620,labeled,Namgay
ddc_dzo_08986,labeled,Thinley
ddc_dzo_01183,labeled,Thinley
ddc_dzo_01204,labeled,Romeo
ddc_dzo_01179,labeled,Romeo
ddc_dzo_01180,labeled,Romeo
ddc_dzo_01199,labeled,Romeo
ddc_dzo_01205,labeled,Romeo
ddc_dzo_01216,labeled,Romeo
ddc_dzo_01213,labeled,Romeo
ddc_dzo_01242,labeled,Romeo
ddc_dzo_01214,labeled,Romeo
ddc_dzo_01225,labeled,Thinley
ddc_dzo_01222,labeled,Romeo
ddc_dzo_01215,labeled,Thinley
ddc_dzo_01237,labeled,Romeo
ddc_dzo_01220,labeled,Thinley
ddc_dzo_01241,labeled,Thinley
ddc_dzo_01238,labeled,Romeo
ddc_dzo_01219,labeled,Thinley
ddc_dzo_01236,labeled,Romeo
ddc_dzo_01234,labeled,Romeo
ddc_dzo_01235,labeled,Romeo
ddc_dzo_01224,labeled,Romeo
ddc_dzo_01239,labeled,Romeo
ddc_dzo_01244,labeled,Romeo
ddc_dzo_01264,labeled,Romeo
ddc_dzo_01251,labeled,Dorji
ddc_dzo_01261,labeled,Romeo
ddc_dzo_01248,labeled,Romeo
ddc_dzo_01256,labeled,Romeo
ddc_dzo_01273,labeled,Romeo
ddc_dzo_01257,labeled,Romeo
ddc_dzo_01270,labeled,Romeo
ddc_dzo_01249,labeled,Dorji
ddc_dzo_01269,labeled,Romeo
ddc_dzo_01278,labeled,Romeo
ddc_dzo_01268,labeled,Romeo
ddc_dzo_01253,labeled,Thinley
ddc_dzo_01255,labeled,Dorji
ddc_dzo_01263,labeled,Romeo
ddc_dzo_01266,labeled,Dorji
ddc_dzo_01276,labeled,Romeo
ddc_dzo_01250,labeled,Romeo
ddc_dzo_01283,labeled,Romeo
ddc_dzo_01307,labeled,Romeo
ddc_dzo_09644,labeled,Thinley
ddc_dzo_01280,labeled,Dorji
ddc_dzo_03404,labeled,Namgay
ddc_dzo_04425,labeled,Thinley
ddc_dzo_09240,labeled,Dorji
ddc_dzo_01301,labeled,Romeo
ddc_dzo_01302,labeled,Romeo
ddc_dzo_01293,labeled,Romeo
ddc_dzo_01298,labeled,Dorji
ddc_dzo_01311,labeled,Romeo
ddc_dzo_01303,labeled,Dorji
ddc_dzo_01331,labeled,Romeo
ddc_dzo_01338,labeled,Romeo
ddc_dzo_01315,labeled,Dorji
ddc_dzo_01344,labeled,Romeo
ddc_dzo_01314,labeled,Romeo
ddc_dzo_01325,labeled,Namgay
ddc_dzo_01337,labeled,Romeo
ddc_dzo_01319,labeled,Dorji
ddc_dzo_01346,labeled,Romeo
ddc_dzo_01330,labeled,Romeo
ddc_dzo_01321,labeled,Romeo
ddc_dzo_01320,labeled,Thinley
ddc_dzo_01327,labeled,Thinley
ddc_dzo_01340,labeled,Dorji
ddc_dzo_01317,labeled,Romeo
ddc_dzo_01339,labeled,Romeo
ddc_dzo_01313,labeled,Romeo
ddc_dzo_01323,labeled,Romeo
ddc_dzo_01369,labeled,Romeo
ddc_dzo_01370,labeled,Dorji
ddc_dzo_01356,labeled,Romeo
ddc_dzo_01366,labeled,Romeo
ddc_dzo_01359,labeled,Thinley
ddc_dzo_01354,labeled,Romeo
ddc_dzo_01350,labeled,Romeo
ddc_dzo_01361,labeled,Thinley
ddc_dzo_01360,labeled,Dorji
ddc_dzo_01352,labeled,Nima
ddc_dzo_01379,labeled,Thinley
ddc_dzo_01376,labeled,Romeo
ddc_dzo_01351,labeled,Dorji
ddc_dzo_01364,labeled,Romeo
ddc_dzo_01365,labeled,Romeo
